Date,Open,High,Low,Close,Adj Close,Volume
2022-12-27,5700.000000,5750.000000,5650.000000,5675.000000,5116.126465,13680300
2022-12-28,5725.000000,5725.000000,5575.000000,5625.000000,5071.050293,29919100
2022-12-29,5600.000000,5675.000000,5550.000000,5650.000000,5093.588379,32241500
2022-12-30,5675.000000,5750.000000,5650.000000,5700.000000,5138.664551,36384500
2023-01-02,5725.000000,5725.000000,5625.000000,5700.000000,5138.664551,12068800
2023-01-03,5675.000000,5700.000000,5625.000000,5650.000000,5093.588379,22854400
2023-01-04,5650.000000,5700.000000,5625.000000,5675.000000,5116.126465,32578900
2023-01-05,5650.000000,5700.000000,5375.000000,5375.000000,4845.670410,106047000
2023-01-06,5400.000000,5525.000000,5350.000000,5450.000000,4913.284668,59754600
2023-01-09,5500.000000,5500.000000,5275.000000,5350.000000,4823.132324,63437700
2023-01-10,5375.000000,5375.000000,5275.000000,5325.000000,4800.594238,62964600
2023-01-11,5325.000000,5350.000000,5200.000000,5225.000000,4710.442383,45514800
2023-01-12,5200.000000,5375.000000,5200.000000,5350.000000,4823.132324,61374300
2023-01-13,5375.000000,5500.000000,5300.000000,5450.000000,4913.284668,52039800
2023-01-16,5525.000000,5600.000000,5475.000000,5600.000000,5048.512695,48458700
2023-01-17,5600.000000,5650.000000,5500.000000,5550.000000,5003.436523,66999600
2023-01-18,5550.000000,5650.000000,5550.000000,5650.000000,5093.588379,28120700
2023-01-19,5650.000000,5875.000000,5650.000000,5850.000000,5273.892578,95543300
2023-01-20,5875.000000,5900.000000,5775.000000,5900.000000,5318.968262,54173000
2023-01-24,5900.000000,5950.000000,5850.000000,5925.000000,5341.506348,26217800
2023-01-25,5900.000000,5950.000000,5850.000000,5950.000000,5364.044922,18115800
2023-01-26,5925.000000,5950.000000,5850.000000,5900.000000,5318.968262,40168400
2023-01-27,5925.000000,5950.000000,5875.000000,5875.000000,5296.430664,31869800
2023-01-30,5875.000000,5900.000000,5775.000000,5875.000000,5296.430664,34817500
2023-01-31,5925.000000,6025.000000,5900.000000,6000.000000,5409.120605,89064100
2023-02-01,6000.000000,6000.000000,5925.000000,6000.000000,5409.120605,35355300
2023-02-02,5950.000000,5975.000000,5875.000000,5925.000000,5341.506348,30039900
2023-02-03,5975.000000,5975.000000,5875.000000,5875.000000,5296.430664,24629700
2023-02-06,5875.000000,5900.000000,5825.000000,5850.000000,5273.892578,31033700
2023-02-07,5825.000000,5925.000000,5825.000000,5875.000000,5296.430664,29536700
2023-02-08,5875.000000,5900.000000,5775.000000,5800.000000,5228.816895,27235100
2023-02-09,5825.000000,5850.000000,5675.000000,5675.000000,5116.126465,48263600
2023-02-10,5600.000000,5700.000000,5550.000000,5700.000000,5138.664551,71158200
2023-02-13,5700.000000,5750.000000,5675.000000,5725.000000,5161.202637,22154800
2023-02-14,5750.000000,5800.000000,5700.000000,5725.000000,5161.202637,31292000
2023-02-15,5725.000000,5725.000000,5575.000000,5675.000000,5116.126465,38862100
2023-02-16,5700.000000,5700.000000,5625.000000,5700.000000,5138.664551,19014100
2023-02-17,5700.000000,5725.000000,5625.000000,5675.000000,5116.126465,31273200
2023-02-20,5675.000000,5700.000000,5575.000000,5600.000000,5048.512695,29576500
2023-02-21,5600.000000,5650.000000,5550.000000,5575.000000,5025.974609,26985200
2023-02-22,5550.000000,5650.000000,5550.000000,5625.000000,5071.050293,24822300
2023-02-23,5650.000000,5700.000000,5575.000000,5650.000000,5093.588379,33406700
2023-02-24,5675.000000,5800.000000,5650.000000,5750.000000,5183.740234,30869400
2023-02-27,5725.000000,5800.000000,5700.000000,5800.000000,5228.816895,28650400
2023-02-28,6200.000000,6275.000000,6100.000000,6100.000000,5499.272461,154669700
2023-03-01,6100.000000,6175.000000,6050.000000,6150.000000,5544.348633,49851200
2023-03-02,6150.000000,6175.000000,6075.000000,6150.000000,5544.348633,26943600
